Bob Algo result 

Requete ;requete_1.png

Temps de création des histogrammes de références ;1.0660169124603271
Temps pour appliquer l'algorithme de reconnaissance d'image ;0.00945591926574707

Résultat de la reconnaissance :
Position;Fichier;Distance
1;pomme_4.png;2.6655889
1;plancheneige_4.png;2.7012124
1;zebre_4.png;2.8173833
1;plancheneige_1.png;2.874763
1;zebre_1.png;2.9092083
1;tasse_1.png;2.947617
1;banane_1.png;2.9662197
1;zebre_5.png;3.0908718
1;planchesurf_1.png;3.9017282
1;banane_5.png;5.212206
1;pomme_5.png;23.408106

Top 3 :
Position;Fichier;Distance
1;banane_2.png;0.16378537
1;tasse_5.png;0.43525618
1;pomme_1.png;0.5808162

Résultat obtenu ;banane
Résultat attendu ;banane
Test OK ;True

Requete ;requete_6.png

Temps de création des histogrammes de références ;1.0660169124603271
Temps pour appliquer l'algorithme de reconnaissance d'image ;0.013777732849121094

Résultat de la reconnaissance :
Position;Fichier;Distance
1;plancheneige_5.png;0.21827
1;tasse_4.png;0.46276015
1;zebre_3.png;0.547353
1;plancheneige_2.png;0.7265965
1;planchesurf_2.png;0.8174423
1;banane_3.png;1.0114744
1;tasse_2.png;1.1300575
1;pomme_1.png;1.333126
1;planchesurf_3.png;1.6086764
1;planchesurf_4.png;1.7714791
1;plancheneige_3.png;2.0152745
1;banane_2.png;2.074299
1;zebre_2.png;2.1630576
1;pomme_4.png;2.4203231
1;plancheneige_4.png;2.4848511
1;zebre_4.png;2.6908875
1;tasse_5.png;2.7222428
1;zebre_1.png;2.856295
1;tasse_1.png;2.925239
1;banane_1.png;2.9581237
1;tasse_3.png;3.2635288
1;pomme_2.png;4.1400037
1;banane_4.png;4.565229
1;planchesurf_5.png;4.6021733
1;pomme_3.png;6.316166
1;plancheneige_1.png;7.499832
1;zebre_5.png;7.9212694
1;planchesurf_1.png;9.31169
1;banane_5.png;11.741688
1;pomme_5.png;44.567062

Top 3 :
Position;Fichier;Distance
1;plancheneige_5.png;0.21827
1;tasse_4.png;0.46276015
1;zebre_3.png;0.547353

Résultat obtenu ;plancheneige
Résultat attendu ;planche de surf
Test OK ;False

Requete ;requete_7.png

Temps de création des histogrammes de références ;1.0660169124603271
Temps pour appliquer l'algorithme de reconnaissance d'image ;0.005406379699707031

Résultat de la reconnaissance :
Position;Fichier;Distance
1;zebre_5.png;0.15389064
1;plancheneige_1.png;0.25670946
1;planchesurf_1.png;0.33173048
1;pomme_3.png;0.57472426
1;banane_5.png;0.8470922
1;planchesurf_5.png;1.0146936
1;banane_4.png;1.0586429
1;pomme_2.png;1.1498709
1;tasse_3.png;1.363985
1;tasse_5.png;1.5140667
1;banane_2.png;1.6892685
1;pomme_1.png;1.8857918
1;banane_3.png;1.9849751
